channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
Slc17a7,RS0967,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),28,4,750,"[3,7,11,15,19,23,27,31]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,25,488
Tac2,RS0994,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),29,5,647,"[4,8,12,16,20,24,28,32]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,25,488
Penk,RS0996,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),30,5,750,"[3,7,11,15,19,23,27,31]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,25,488
Lamp5,RS1040,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),31,6,647,"[4,8,12,16,20,24,28,32]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,25,488
Cd52,RS1047,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),32,6,750,"[3,7,11,15,19,23,27,31]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,25,488
Rprml,RS1199,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),33,7,647,"[4,8,12,16,20,24,28,32]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,25,488
Mup5,RS1261,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),34,7,750,"[3,7,11,15,19,23,27,31]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,25,488
Cnr1,RS1312,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),35,8,647,"[4,8,12,16,20,24,28,32]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,25,488
Gad1,RS1316,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),36,8,750,"[3,7,11,15,19,23,27,31]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,25,488
Pvalb,RS1326,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),37,9,647,"[4,8,12,16,20,24,28,32]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,25,488
Igfbp6,RS1334,Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),38,9,750,"[3,7,11,15,19,23,27,31]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,25,488
DAPI,,Hal_config_750s8_650s8_560s1_488s8_405s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),40,0,405,"[ 6,11,16,21,26,31,36,41]","[0.,1.5,3.,4.5,6.,7.5,9.,10.5]",Hal_config_750s8_650s8_560s1_488s8_405s8_1cam_2Hz,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,25,488
