channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit23,RS0763,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),23,11,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,23,488
bit24,RS0793,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),24,11,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,23,488
bit25,RS0805,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),25,12,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,23,488
bit26,RS0820,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),26,12,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,23,488
bit27,RS0896,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),27,13,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),13,23,488
bit28,RS0967,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),28,13,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),13,23,488
bit29,RS0994,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),29,14,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),14,23,488
bit30,RS0996,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),30,14,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),14,23,488
bit31,RS1040,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),31,15,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),15,23,488
bit32,RS1047,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),32,15,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),15,23,488
bit33,RS1199,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),33,16,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),16,23,488
bit34,RS1261,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),34,16,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),16,23,488
bit35,RS1312,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),35,17,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),17,23,488
bit36,RS1316,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),36,17,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),17,23,488
bit37,RS1326,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),37,18,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),18,23,488
bit38,RS1334,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),38,18,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),18,23,488
bit39,RS1404,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),39,19,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),19,23,488
bit40,RS1470,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),40,19,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),19,23,488
bit42,RS1520,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),41,20,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),20,23,488
bit81,RS3505,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),42,20,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),20,23,488
bit100,RS4216,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),43,21,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),21,23,488
bit101,RS4324,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),44,21,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),21,23,488
bit102,RS4341,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),45,22,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),22,23,488
bit103,RS4351,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),46,22,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),22,23,488
bit104,RS4363,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),47,23,647,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),23,23,488
bit105,RS4365,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),48,23,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),23,23,488
polyT,RS2179,Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),49,24,750,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-s13,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),24,23,488
DAPI,,Epi-750-647-488-405-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),50,0,405,[3 19 35 51 67 83 99 115 131 147 163 179 195],[0. 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12],Epi-750-647-488-405-s50,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,114,488
