channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
Slc17a7,RS0015,Epi-647-488-405-s60,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,1,647,[0 15 30 45 60 75 90 105 120 135 150 165],[0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0],Epi-647-488-405-s60,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,127,488
Slc32a1,RS0083,Epi-647-488-s60,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,2,647,[0 10 20 30 40 50 60 70 80 90 100 110],[0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0],Epi-647-488-s60,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,85,488
SST,RS0095,Epi-647-488-s60,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,3,647,[0 10 20 30 40 50 60 70 80 90 100 110],[0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0],Epi-647-488-s60,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,85,488
polyT,polyT,Epi-647-488-405-s60,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,1,488,[1 16 31 46 61 76 91 106 121 136 151 166],[0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0],Epi-647-488-405-s60,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,127,488
DAPI,DAPI,Epi-647-488-405-s60,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,1,405,[2 17 32 47 62 77 92 107 122 137 152 167],[0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0],Epi-647-488-405-s60,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,127,488
